11759,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
11764,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
11939,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
11760,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
11765,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
11761,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
11763,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
11762,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
6218,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8630,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8636,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8646,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8653,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8718,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8725,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8877,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
10252,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
10292,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
7218,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
9062,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
10097,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
6664,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,8,
8421,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8426,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8435,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8443,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8445,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
8961,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
5341,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
5601,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
6339,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
7063,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
9516,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
39919,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
39920,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
6121,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,-1.#QNAN0,0,0,
