81,"Lake Wintergrasp - Water",15,0,1112,36444,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","",0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1250,0,0,
41,"Coilfang Raid - Water",15,0,1111,37025,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","",0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1250,0,0,
1,"Water",15,0,1111,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","",0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1250,0,0,
2,"Ocean",15,1,1114,0,0,30.000000,0.500000,0.500000,0.250000,0,1.000000,0,0,1,"XTextures\ocean\ocean_h.%d.blp","proceduralOceanDepthTex","","","","",0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1250,0,0,
3,"Magma",120,2,3072,0,3,0.000000,0.000000,0.000000,0.000000,7,4.000000,1,1,2,"XTextures\lava\lava.%d.blp","","","","","",0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,
4,"Slime",98,3,3880,0,4,0.000000,0.000000,0.000000,0.000000,6,0.000000,0,0,2,"XTextures\slime\slime.%d.blp","","","","","",0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,
21,"Naxxramas - Slime",98,3,3880,28801,4,0.000000,0.000000,0.000000,0.000000,6,0.000000,0,0,2,"XTextures\slime\slime.%d.blp","","","","","",0.000000,0.000000,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,
61,"Hyjal Past - Water",15,0,1111,42201,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","",0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1250,0,0,
100,"Basic Procedural Water",15,1,1114,0,0,30.000000,0.500000,0.500000,0.000000,0,1.000000,0,0,3,"XTextures\procWater\basicReflectionMap.blp","XTextures\procWater\basicReflectionMap.blp","XTextures\procWater\basicWaterHeightTex_%d.blp","XTextures\procWater\basicWaterHeightTex_%d.blp","proceduralOceanDepthTex","XTextures\ocean\ocean_h.%d.blp",0.000000,0.000000,0.100000,0.500000,1.500000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,300.000000,0.333000,0.200000,0.100000,0.200000,0.800000,0.200000,1,1250,1250,1250,
5,"Slow Water",15,0,1112,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,0,0,1,"XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","","","","",0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1250,0,0,
9,"Fast Water",15,0,1113,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,0,0,1,"XTextures\river\fast_a.%d.blp","proceduralRiverDepthTex","","","","",0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1250,0,0,
