3,1,"Invisibility Impact","Dispel_Low_Base.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
7,1,"BlizzardImpactVariations","BlizzardImpact1a.wav","BlizzardImpact1b.wav","BlizzardImpact1c.wav","BlizzardImpact1d.wav","BlizzardImpact1e.wav","BlizzardImpact1f.wav","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.600000,0,8.000000,45.000000,2,
15,1,"FrostImpact","DivineShield.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
20,1,"Frost Precast","PreCastFrostMagicLow.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,512,8.000000,45.000000,2,
22,1,"Ice Blast Impact","IceBlastImpact.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
25,1,"FireShield_Impact","DivineShield.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
26,1,"Natures_Healing_Impact","RestorationImpact.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
27,1,"Precast Nature High","PreCastNatureMagicHigh.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,512,8.000000,45.000000,2,
29,1,"Freeze Impact","IceBarrirerState.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
30,1,"Call Lightning Impact","CallLightning.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
31,1,"Call Lightning Precast","PreCastNatureMagicMedium.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
33,1,"Lightning Shield","LightningShieldImpact.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
35,1,"Lightning Cast","LightningShieldImpact.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
36,1,"Ice Prison","DivineShield.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
37,1,"Resurrection","Resurrection.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
38,1,"Immolate","Immolate.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
39,1,"Divine Shield","DivineShield.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
42,1,"ShieldBash","m1hSwordHitMetalShieldCrit.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Sword1H",0.800000,0,8.000000,45.000000,2,
44,1,"Holy Bolt","HolyBolt.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,0,8.000000,45.000000,2,
45,1,"Item - Eat","iEating1.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\UseSounds",0.800000,0,8.000000,45.000000,2,
46,1,"Dismember","m2hAxeHitFleshCrit.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Axe2H",0.800000,0,8.000000,45.000000,2,
48,1,"Special Physical Ability Cast","mWooshMediumCrit.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\WeaponSwings",0.800000,0,8.000000,45.000000,2,
49,1,"Special Ability Impact Sound","UnarmedAttackMediumCrit.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Unarmed",0.800000,0,8.000000,45.000000,2,
50,1,"Special Weapon Impact","m1hSwordHitFleshCrit.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Item\Weapons\Sword1H",0.800000,0,8.000000,45.000000,2,
51,1,"FireBoltPrecast","PreCastFireHigh.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Spells",0.800000,512,8.000000,45.000000,2,
61,2,"GLUESCREENSMALLBUTTONMOUSEDOWN","iUIMainMenuButtonA.wav","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\interface",0.700000,0,8.000000,45.000000,2,
62,2,"GLUESCREENSMALLBUTTONMOUSEUP","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,"Sound\Interface",1.000000,0,8.000000,45.000000,2,
