1,100,11,
27,100,11,
53,100,32,
67,100,11,
79,18,12,
95,18,12,
108,19,12,
122,18,12,
136,18,12,
151,300,7,
170,300,7,
189,100,11,
207,100,11,
225,1,11,
247,1,11,
269,1,11,
287,18,1,
296,100,32,
310,100,11,
328,200,1,
343,11,32,
358,100,1,
373,11,32,
392,100,1,
409,1,10,
429,5,10,
456,1,10,
475,1,10,
498,1,10,
522,100,6,
541,100,11,
558,100,11,
580,100,11,
595,100,1,
610,5,11,
623,5,11,
637,100,11,
659,100,11,
683,100,11,
706,100,11,
723,100,11,
740,100,11,
757,100,1,
773,100,11,
789,100,11,
806,100,11,
821,100,11,
842,100,11,
857,100,11,
868,100,11,
879,100,11,
896,40,2,
909,100,11,
923,100,11,
937,100,11,
958,100,11,
980,100,11,
1001,100,11,
1024,100,11,
1047,5,11,
1068,100,11,
1093,100,11,
1118,100,11,
1145,100,11,
1171,100,11,
1198,100,11,
1227,100,11,
1245,100,11,
1256,100,1,
1270,100,1,
1288,100,11,
1307,100,11,
1325,100,11,
1343,100,11,
1363,100,11,
1380,100,11,
1391,100,11,
1406,100,11,
1423,100,11,
1444,100,11,
1459,100,11,
1480,100,1,
