1,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2,0.000000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21,0.000000,235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
41,0.000000,234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
61,0.000000,122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
81,0.000000,142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
101,0.000000,162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
121,0.000000,182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
141,0.000000,202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
161,0.000000,224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
162,0.000000,243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
163,0.000000,244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
164,0.000000,245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
165,0.000000,246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
