41,1,0,5,5,0,
61,1,0,2,0,2,
63,1,0,4,1,2,
64,0,0,0,0,0,
65,3,0,0,0,0,
66,0,0,0,0,1,
67,2,0,1,0,0,
81,1,0,4,2,2,
82,1,0,4,3,2,
83,1,0,4,4,2,
121,1,0,0,0,2,
161,4,0,0,0,0,
181,1,0,0,0,0,
182,0,0,0,5,0,
183,1,106,2,0,2,
184,1,210,2,0,2,
185,0,210,2,0,2,
186,0,106,2,0,2,
187,0,0,0,0,0,
207,2,0,1,0,2,
208,1,0,6,0,2,
209,1,0,7,0,0,
227,0,0,0,0,0,
247,2,0,0,0,130,
267,0,0,0,5,0,
287,0,0,0,0,0,
307,1,35,5,5,0,
327,4,0,0,0,0,
328,0,0,0,0,0,
347,1,0,0,0,2,
367,4,0,0,0,0,
387,1,0,2,6,2,
407,1,0,1,5,4,
409,1,0,1,5,4,
410,1,0,4,1,8,
427,3,0,1,0,0,
428,3,1616,0,0,4,
429,0,0,0,0,2,
447,1,0,2,6,2,
467,4,0,0,0,0,
469,1,0,0,0,0,
487,0,0,0,0,24,
488,4,0,0,0,8,
489,1,35,8,0,0,
490,1,0,0,0,16,
491,0,0,0,0,8,
492,1,0,0,0,16,
493,4,0,0,0,0,
494,1,0,3,0,10,
495,0,0,0,0,9,
496,1,0,0,0,0,
497,0,0,0,0,0,
507,1,0,2,0,2,
527,0,2089,0,0,9,
547,1,974,0,5,16,
567,1,0,0,6,0,
587,0,0,0,0,8,
607,4,0,0,6,8,
627,1,2064,0,0,10,
628,0,0,0,6,8,
629,1,0,0,0,0,
647,1,0,0,0,0,
648,0,0,0,0,64,
649,1,0,2,0,66,
667,1,0,0,0,64,
668,0,0,0,5,0,
669,2,0,1,0,0,
687,1,0,3,0,0,
688,1,35,2,0,2,
689,4,0,0,0,0,
