2019,1,159,0,62,14,36,84,
2019,1,0,18154,182,13,43,0,
2019,1,0,18153,401,232,103,0,
3427,0,3557,0,0,36,27,0,
3427,42,4080,0,0,14,24,0,
3428,32,4088,0,381,244,365,88,
843,0,3428,0,0,0,0,0,
3202,0,3428,0,0,0,0,0,
2465,0,3428,0,0,0,0,0,
1946,0,3428,0,0,0,0,0,
3426,0,4080,0,0,394,0,0,
3426,1,4080,0,0,395,0,0,
3426,2,4080,0,0,396,0,0,
3426,0,0,40329,0,394,0,0,
3426,1,0,40329,0,395,0,0,
3426,2,0,40329,0,396,0,0,
3426,0,0,40353,0,394,0,0,
3426,1,0,40353,0,395,0,0,
3426,2,0,40353,0,396,0,0,
3426,0,0,43245,0,394,0,0,
3426,1,0,43245,0,395,0,0,
3426,2,0,43245,0,396,0,0,
3426,0,0,40331,0,394,0,0,
3426,1,0,40331,0,395,0,0,
3426,2,0,40331,0,396,0,0,
3426,0,0,43205,0,394,0,0,
3426,1,0,43205,0,395,0,0,
3426,2,0,43205,0,396,0,0,
3427,1337,151,0,0,0,0,0,
3427,5555,4019,0,0,0,0,0,
