1,30,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,51,70,40,10,1,"Alterac Valley",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,5,
2,489,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,10,70,10,10,1,"Warsong Gulch",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,40,
3,529,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,20,70,15,10,1,"Arathi Basin",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,40,
4,559,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,4,10,70,5,5,1,"Nagrand Arena",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,40,
5,562,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,4,10,70,5,5,1,"Blade's Edge Arena",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,40,
6,559,562,572,0.000000,0.000000,0.000000,0.000000,0.000000,4,10,70,5,5,1,"All Arenas",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,40,
7,566,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,61,70,15,10,1,"Eye of the Storm",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,40,
8,572,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,4,10,70,5,5,1,"Ruins of Lordaeron",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,40,
9,607,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,70,80,10,10,1,"Sands of Ulduran",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16711788,10,
10,617,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,4,10,80,5,5,1,"(PH)Dalaran Arena",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323104,40,
11,618,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,4,10,80,5,5,1,"(PH)Orgrimmar Arena",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8323104,40,
