42,3,0,0,0,0,0,1280,0,50331648,0,0,0,0,0,0,43,4,0,0,0,0,0,768,196608,0,0,0,0,0,0,
0,30,4,0,0,0,0,0,768,196608,0,0,0,0,0,0,0,32,2,0,0,0,0,0,768,196608,0,0,0,0,0,
0,0,33,4,0,0,0,0,0,1280,0,50331648,0,0,0,0,0,0,34,2,0,0,0,0,0,768,262144,0,0,0,0,
0,0,0,35,4,0,0,0,0,0,1280,0,83886080,0,0,0,0,0,0,36,262914,0,0,0,0,0,84215040,0,33554432,33554432,33554432,
0,0,16777216,1,28,513,0,0,0,0,0,131584,50462720,0,0,0,0,0,16777216,0,3,4,0,0,0,0,0,1280,0,67108864,0,
0,0,0,0,0,63,515,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,61,515,0,0,0,0,0,328960,0,33554432,
16777216,0,0,0,16777216,0,62,515,0,0,0,0,0,328960,0,33554432,16777216,0,0,0,16777216,0,64,197634,0,0,0,0,0,84215040,0,
33554432,33554432,33554432,0,0,16777216,1,65,197634,0,0,0,0,0,84215040,0,33554432,33554432,33554432,0,0,16777216,1,66,262914,0,0,0,0,0,84215040,
0,33554432,33554432,33554432,0,0,16777216,1,67,262914,0,0,0,0,0,84215040,0,33554432,33554432,33554432,0,0,16777216,1,121,772,0,0,0,0,0,
328960,0,33554432,16777216,0,0,0,16777216,0,122,2,0,0,0,0,0,1280,0,50331648,0,0,0,0,0,0,81,4,0,0,0,0,
0,1280,0,33554432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
