1,1,0,0,0,0,"Character\Human\Male\HumanMaleSkin00_00.blp","","",0,
2,1,0,0,0,1,"Character\Human\Male\HumanMaleSkin00_01.blp","","",0,
3,1,0,0,0,2,"Character\Human\Male\HumanMaleSkin00_02.blp","","",0,
4,1,0,0,0,3,"Character\Human\Male\HumanMaleSkin00_03.blp","","",0,
5,1,0,0,0,4,"Character\Human\Male\HumanMaleSkin00_04.blp","","",0,
6,1,0,0,0,5,"Character\Human\Male\HumanMaleSkin00_05.blp","","",0,
7,1,0,0,0,6,"Character\Human\Male\HumanMaleSkin00_06.blp","","",0,
8,1,0,0,0,7,"Character\Human\Male\HumanMaleSkin00_07.blp","","",0,
9,1,0,0,0,8,"Character\Human\Male\HumanMaleSkin00_08.blp","","",0,
10,1,0,0,0,9,"Character\Human\Male\HumanMaleSkin00_09.blp","","",0,
4281,1,0,0,0,0,"Character\Human\Male\HumanMaleSkin00_100.blp","","",1,
4901,1,0,0,0,1,"Character\Human\Male\HumanMaleSkin00_101.blp","","",1,
5183,1,0,1,0,0,"Character\Human\Male\HumanMaleFaceLower00_00.blp","Character\Human\Male\HumanMaleFaceUpper00_00.blp","",0,
5184,1,0,1,0,1,"Character\Human\Male\HumanMaleFaceLower00_01.blp","Character\Human\Male\HumanMaleFaceUpper00_01.blp","",0,
5185,1,0,1,0,2,"Character\Human\Male\HumanMaleFaceLower00_02.blp","Character\Human\Male\HumanMaleFaceUpper00_02.blp","",0,
5186,1,0,1,0,3,"Character\Human\Male\HumanMaleFaceLower00_03.blp","Character\Human\Male\HumanMaleFaceUpper00_03.blp","",0,
5187,1,0,1,0,4,"Character\Human\Male\HumanMaleFaceLower00_04.blp","Character\Human\Male\HumanMaleFaceUpper00_04.blp","",0,
5188,1,0,1,0,5,"Character\Human\Male\HumanMaleFaceLower00_05.blp","Character\Human\Male\HumanMaleFaceUpper00_05.blp","",0,
5189,1,0,1,0,6,"Character\Human\Male\HumanMaleFaceLower00_06.blp","Character\Human\Male\HumanMaleFaceUpper00_06.blp","",0,
5190,1,0,1,0,7,"Character\Human\Male\HumanMaleFaceLower00_07.blp","Character\Human\Male\HumanMaleFaceUpper00_07.blp","",0,
5191,1,0,1,0,8,"Character\Human\Male\HumanMaleFaceLower00_08.blp","Character\Human\Male\HumanMaleFaceUpper00_08.blp","",0,
5192,1,0,1,0,9,"Character\Human\Male\HumanMaleFaceLower00_09.blp","Character\Human\Male\HumanMaleFaceUpper00_09.blp","",0,
5193,1,0,1,1,0,"Character\Human\Male\HumanMaleFaceLower01_00.blp","Character\Human\Male\HumanMaleFaceUpper01_00.blp","",0,
5194,1,0,1,1,1,"Character\Human\Male\HumanMaleFaceLower01_01.blp","Character\Human\Male\HumanMaleFaceUpper01_01.blp","",0,
5195,1,0,1,1,2,"Character\Human\Male\HumanMaleFaceLower01_02.blp","Character\Human\Male\HumanMaleFaceUpper01_02.blp","",0,
5196,1,0,1,1,3,"Character\Human\Male\HumanMaleFaceLower01_03.blp","Character\Human\Male\HumanMaleFaceUpper01_03.blp","",0,
