1,0,0.000000,0,0,0.000000,
1,1,0.000000,0,0,0.000000,
2,0,0.000000,0,0,0.000000,
2,1,0.000000,0,0,0.000000,
6,0,0.000000,512,512,0.000000,
6,1,0.000000,512,512,0.000000,
3,0,0.000000,0,0,0.000000,
3,1,0.000000,0,0,0.000000,
4,0,0.000000,0,0,0.000000,
4,1,0.000000,0,0,0.000000,
5,0,0.000000,0,0,0.000000,
5,1,0.000000,0,0,0.000000,
7,0,0.000000,0,0,0.000000,
7,1,0.000000,0,0,0.000000,
8,0,0.000000,512,512,0.000000,
8,1,0.000000,512,512,0.000000,
10,0,0.000000,0,0,0.000000,
10,1,0.000000,0,0,0.000000,
11,0,0.000000,0,0,0.000000,
11,1,0.000000,0,0,0.000000,
12,0,0.000000,0,0,0.000000,
12,1,0.000000,0,0,0.000000,
13,0,0.000000,0,0,0.000000,
13,1,0.000000,0,0,0.000000,
14,0,0.000000,0,0,0.000000,
14,1,0.000000,0,0,0.000000,
15,0,0.000000,0,0,0.000000,
15,1,0.000000,0,0,0.000000,
16,0,0.000000,0,0,0.000000,
16,1,0.000000,0,0,0.000000,
17,0,0.000000,0,0,0.000000,
17,1,0.000000,0,0,0.000000,
18,0,0.000000,0,0,0.000000,
18,1,0.000000,0,0,0.000000,
