741,"Косматый молодой волк",
742,"Кролик",
743,"Трогг Каменной Челюсти",
744,"Двуручные топоры",
745,"Посохи",
746,"Двуручное ударное",
747,"Мечи",
748,"Жезлы",
749,"Древковое оружие",
750,"Огнестрельное оружие",
751,"Кистевое оружие",
752,"Арбалеты",
753,"Топоры",
754,"Метательное оружие",
755,"Луки",
756,"Кинжалы",
757,"Ударное",
758,"Двуручные мечи",
759,"Бой двумя руками",
760,"Защита",
761,"Наложение чар",
762,"Ювелирное дело",
763,"Кузнечное дело",
764,"Механика",
765,"Алхимия",
766,"Портняжное дело",
767,"Кожевенное дело",
768,"Травничество",
769,"Горное дело",
770,"Свежевание",
771,"Рыбная ловля",
772,"Кулинария",
773,"Первая помощь",
774,"Выживание",
775,"Плавание",
776,"Рукопашный бой",
777,"Физический",
778,"Огонь",
779,"Лед",
780,"Тайная магия",
781,"Природа",
782,"Тень",
783,"Свет",
784,"Неизвестно",
785,"Мана",
786,"Ярость",
787,"Энергия",
788,"Настроение",
789,"Руны",
790,"Счетчик маноотбора Солнечного Странника",
791,"Хранитель Колодца Соланиан",
792,"Порченый дух тайной магии",
793,"Детеныш прыголапа",
794,"Змей Маны",
795,"Зверопастырь",
796,"Шара Солнечное Крыло",
797,"Одичавший зверопастырь",
798,"Магистресса Эриона",
799,"Следопыт Кариэл",
800,"Фелендрен Изгой",
801,"Страж из клана Солнечный Странник",
802,"Ясмин Тели-Лариен",
803,"Рысь-прыголап",
804,"Джулия Удар Солнца",
805,"Марсилла Рассветная Звезда",
806,"Раэлис Рассветная Звезда",
807,"Джестенис Удар Солнца",
808,"Смотрительница Арина",
809,"Джейн",
810,"Джессел",
811,"Нова",
812,"Джейнтесс Тельрин",
813,"Дух тайной магии",
814,"Чародей Итанас",
815,"Чародей Хелион",
816,"Фараден Тельрин",
817,"Егерь Саллина",
818,"Лантан Перилон",
819,"Гонец Аларион",
820,"Заклинатель Тели-Лариен",
821,"Воин",
822,"Паладин",
823,"Охотник",
824,"Разбойник",
825,"Жрец",
826,"Шаман",
827,"Маг",
828,"Чернокнижник",
829,"Друид",
830,"Воительница",
831,"Охотница",
832,"Разбойница",
833,"Жрица",
834,"Шаманка",
835,"Волшебница",
836,"Чернокнижница",
837,"Друидесса",
838,"Лесной тролль",
839,"Человек",
840,"Орк",
841,"Дворф",
842,"Ночной эльф",
843,"Нежить",
844,"Таурен",
845,"Гном",
846,"Тролль",
847,"Гоблин",
848,"Эльф крови",
849,"Дреней",
850,"Орк Скверны",
851,"Нага",
852,"Падший",
853,"Скелет",
854,"Лесная троллиха",
855,"Орчиха",
856,"Дворфийка",
857,"Ночная эльфийка",
858,"Тауренка",
859,"Гномесса",
860,"Троллиха",
861,"Гоблиниха",
862,"Эльфийка крови",
863,"Дренейка",
864,"Орчиха Скверны",
865,"Падшая",
866,"сопротивление",
867,"атака блокирована",
868,"критический урон",
869,"удар пришелся вскользь",
870,"сокрушительный удар",
871,"атака поглощена",
872,"атака отражена",
873,"Сопротивление",
874,"Атака блокирована",
875,"Критический урон",
876,"Удар пришелся вскользь",
877,"Сокрушительный удар",
878,"Атака поглощена",
879,"Атака отражена",
880,"Прервано",
881,"Недостаточно ярости",
882,"Недостаточно энергии",
883,"Вне зоны действия",
884,"Общий",
885,"Журнал боя",
886,"Взлом",
887,"красный",
888,"синий",
889,"желтый",
890,"пурпурный",
891,"зеленый",
892,"оранжевый",
893,"Двуручное дробящее оружие",
894,"Дробящее оружие",
895,"Джестенис Солнцесвет",
896,"Джулия Солнцесвет",
897,"Заклинатель Тель’Лариен",
898,"Лазутчик Кариэл",
899,"Магистресса Эрона",
900,"Марсилла Утренняя Звезда",
901,"Оскверненный дух тайной магии",
902,"Раэлис Утренняя Звезда",
903,"Сестра Арина",
904,"Следопыт Саллина",
905,"Страж острова Солнечного Скитальца",
906,"Шера Солнечное Крыло",
907,"Ясмин Тель’Лариен",
908,"Блокировано",
909,"нет цели",
910,"еще не готово",
911,"воин",
912,"паладин",
913,"охотник",
914,"разбойник",
915,"жрец",
916,"шаман",
917,"маг",
918,"чернокнижник",
919,"друид",
