1,"The Gladiator",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,11729,11726,11728,11731,11730,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41864,41863,41862,41861,0,0,0,0,3,2,5,4,0,0,0,0,0,0,
41,"Dal'Rend's Arms",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,12940,12939,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41719,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
65,"Spider's Kiss",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,13218,13183,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17332,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
81,"The Postmaster",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,13390,13388,13391,13392,13389,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41873,17498,41872,41871,41870,41869,0,0,2,5,4,3,3,5,0,0,0,0,
121,"Cadaverous Garb",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,14637,14636,14640,14638,14641,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41681,41645,41680,41679,0,0,0,0,2,3,4,5,0,0,0,0,0,0,
122,"Necropile Raiment",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,14631,14629,14632,14633,14626,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41827,41642,41826,41825,0,0,0,0,3,2,4,5,0,0,0,0,0,0,
123,"Bloodmail Regalia",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,14614,14616,14615,14611,14612,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41674,41673,41672,41671,0,0,0,0,5,4,3,2,0,0,0,0,0,0,
124,"Deathbone Guardian",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,14624,14622,14620,14623,14621,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41726,41725,41724,41723,0,0,0,0,2,3,4,5,0,0,0,0,0,0,
141,"Volcanic Armor",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,15053,15054,15055,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9233,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
142,"Stormshroud Armor",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16712190,15056,15057,15058,21278,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18979,23863,41845,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0,
