61,"Valley of Heroes",2541,1,60,
62,"Orgrimmar Intro",3402,1,60,
63,"Darnassus Intro",3900,1,60,
81,"Angelic01",4517,1,10,
101,"Spooky01",5037,1,10,
102,"Warrior Terrace",5354,1,10,
103,"Druid Grove",4434,1,10,
121,"Swamp01",4514,1,10,
122,"Stormwind-Southseas",6837,1,10,
123,"Stormwind03",5054,1,10,
141,"Stormwind08",5294,1,10,
161,"Haunted02",5174,1,10,
162,"Jungle",2535,1,10,
181,"Stormwind02",5036,1,10,
182,"Stormwind01",5035,1,10,
201,"Magic",6669,1,10,
221,"Sacred01",4454,1,10,
241,"Orgrimmar Walking",5055,1,10,
281,"Undercity",6080,1,60,
301,"Battle03",6078,1,10,
302,"Gloomy01",6074,1,10,
303,"Gloomy02",6075,1,10,
321,"Battle02",6262,1,10,
322,"Battle01",6077,1,10,
323,"Battle04",6079,1,10,
324,"Battle05",6253,1,10,
325,"Battle06",6350,1,10,
326,"Sacred02",6076,1,10,
341,"Ironforge City Intro",7318,1,60,
361,"Stormwind07",6794,1,10,
381,"Thunderbluff Intro",7076,1,60,
401,"Ironforge King",7338,1,60,
421,"Orc Barren",7474,1,10,
441,"Desert",5194,1,10,
461,"Raid Battle03",6078,1,3,
462,"Raid Battle06",6350,1,3,
463,"Raid Battle02",6262,1,3,
464,"Raid Battle04",6079,1,3,
465,"Raid Desert",5194,1,3,
466,"Raid Battle01",6077,1,3,
467,"Raid Warrior Terrace",5354,1,3,
468,"Raid Battle05",6253,1,3,
469,"AhnQirajInteriorMainEntrance",8564,1,120,
470,"BloodmystNaga",9462,1,30,
471,"OL_Demon01",9774,1,10,
472,"HE_PathOfGlory01",9775,1,10,
473,"HE_Stairs01",9776,1,10,
474,"HE_Armoury01",9777,1,10,
475,"OL_Historic01",9778,1,10,
477,"HE_Citadel01",9779,1,10,
478,"HE_Wistful01",9780,1,10,
479,"HE_Wistful02",9781,1,10,
480,"OL_Arakkoa01",9782,1,10,
481,"OL_Arakkoa02",9783,1,10,
482,"OL_Shaman01",9784,1,10,
483,"SilvermoonIntro",9801,1,120,
484,"ScenicIntroNight",9802,1,10,
485,"Corrupt Intro",9872,1,30,
486,"Exodar",9971,1,60,
487,"OutlandBurningLegion01",10610,1,60,
488,"OutlandBurningLegion02",10611,1,60,
489,"OutlandScenic",10612,1,60,
490,"OutlandCrystal01",10613,1,60,
491,"OutlandCrystal02",10614,1,60,
492,"OutlandCrystal03",10615,1,60,
493,"OutlandCenarion01",10616,1,60,
494,"OutlandCenarion02",10617,1,69,
495,"OutlandCenarion03",10618,1,60,
496,"NetherstormPlant01",10619,1,60,
497,"NetherstormPlant02",10620,1,60,
498,"NetherstormPlant03",10621,1,60,
499,"NetherstormPlant04",10622,1,60,
500,"NagrandDiamond",10623,1,60,
501,"OL_FelOrc01",10701,1,60,
502,"OL_FelOrc02",10702,1,60,
503,"OL_Orc01",10703,1,60,
504,"OL_Orc02",10704,1,60,
505,"OL_Orc03",10705,1,60,
506,"OL_Orc04",10706,1,60,
507,"OL_IllidansArmy01",10707,1,60,
508,"OL_Ogre01",10708,1,60,
509,"OL_Orc02",10709,1,60,
510,"OL_Ogre02",10709,1,60,
511,"OL_Shaman02",10710,1,60,
512,"CavernsOfTimeBlackMorass",10732,1,60,
513,"Intro-CavernsofTimeEscapeDurn",10771,1,300,
514,"Intro-CavernsofTimeThrallEscape",10772,1,60,
515,"Intro-CavernsofTimeFlight",10773,1,60,
516,"Intro-NetherStormMushroom01",10851,1,60,
517,"Intro-NetherStormMushroom02",10852,1,60,
518,"Intro-NetherStormMushroom03",10853,1,60,
519,"OL_Broken",10855,1,60,
520,"DraeneiRestUni",10898,1,60,
521,"HyjalPastBase",11654,1,60,
522,"HyjalPastHordeCamp",11655,1,60,
523,"HyjalPastNordrassil",11656,1,60,
524,"BlackTempleKarabor",11704,1,60,
525,"BlackTempleIllidari",11705,1,60,
526,"BlackTempleSanctuary",11706,1,60,
527,"New Intro",0,0,0,
528,"BlackTempleDen",11707,1,60,
529,"BlackTempleAnguish",11708,1,60,
530,"BlackTempleVigil",11709,1,60,
531,"BlackTempleReliquary",11710,1,60,
532,"BlackTempleRefectory",11711,1,60,
533,"BladesEdgeOgrila",11770,1,30,
534,"OutlandMilitaryBattle",11771,1,30,
535,"TempesttKeep1",12130,1,10,
536,"TempestKeep2",12131,1,10,
537,"TempestKeep3",12132,1,10,
538,"Intro-KarazhanStableWalk",12158,1,10,
539,"Intro-KarazhanFoyer",12155,1,10,
540,"Intro-MagistersTerrace",12530,1,60,
541,"Intro-SunwellPlateau",12534,1,60,
542,"Taunka",12804,1,60,
